Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.160343933;103.8;100.2;17786;23054.2;0.770243049;76262;12011;729;23;1568;416;521;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.093081665;47.4;42.8;8436.8;11457;0.673374109;44336.8;12010;729;22;1712;446;506;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.158907032;115.6;113.2;16488.2;22419;0.735669953;80908.6;12011;729;23;1689;420;519;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.587669468;354.8;349;72493;88218;0.818575352;224770;12005;729;17;2486;562;448;
;;;;;;;;;;;;;;;;;
;;;;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop;
;;gem van gemiddels;;0.297435189;178.7410526;173.7305263;32696.65053;41035.16632;0.758610518;118486.0274;12008.55789;729;20.55789474;1866.4;460.6526316;498.6736842;
